cotizacion_codigo,centro_costos,rq_codigo,cliente,unidad,solicitante,fecha_rq,tipo_principal,estado,descripcion_resumen,cantidad_items,origen,observaciones,prioridad
FOR-EKA-PRO-3_2024-248_REV04,ADM-402-2024,RQ-CJM050-002_2024,RAMIREZ GROUP,REFINERIA CAJAMARQUILLA,,2024-11-28,MATERIALES,PENDIENTE,2P-8ST-COB EXTENSIÓN CONECTOR DOBLE CON CABLE PARA CINTA COB LED MARCA ILUMINA (NO REQUIERE SOLDADURA),7,excel,,
FOR-EKA-PRO-3_2024-251,4517585041,RQ-UMCL006-001_2024 ,NEXA,U.M. CERRO LINDO,,2024-11-25,MATERIALES,PENDIENTE,PLANCHA METALICA 2.00 X 1200 X 2400 MM,15,excel,,
FOR-EKA-PRO-3_2024-251,4517585041,RQ-UMCL006-002_2024 ,NEXA,U.M. CERRO LINDO,,2024-12-12,GASTOS GENERALES,ATENCION COMPLETA,PUNTERO LASER TIPO LAPICERO RECARGABLE PARA LA NIVELAR EL SENSOR ORP A INSTALAR,25,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2403-001,TRAFIGURA,U.M. CATALINA HUANCA,,2025-06-02,MATERIALES,ATENCION COMPLETA,"ADAPTADOR 2"" NPT MACHO - 2"" JIC MACHO",1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2403-002,TRAFIGURA,U.M. CATALINA HUANCA,,2024-11-12,HERRAMIENTAS,PENDIENTE,"ALICATE PINZA 1000V 6 1/4""STANLEY",13,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2403-003,TRAFIGURA,U.M. CATALINA HUANCA,,2024-11-19,GASTOS GENERALES,ATENCION COMPLETA,Equipo móvil con 8Gb de RAM y 128 GB de ROM sin chip asignado a Jose Hernandez Peña.,1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2403-004,TRAFIGURA,U.M. CATALINA HUANCA,,2025-06-02,MATERIALES,ATENCION COMPLETA,"ADAPTADOR 2"" NPT MACHO - 2"" JIC MACHO",1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2403-005,TRAFIGURA,U.M. CATALINA HUANCA,,2025-06-02,MATERIALES,ATENCION COMPLETA,"ADAPTADOR 2"" NPT MACHO - 2"" JIC MACHO",1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-007,TRAFIGURA,U.M. CATALINA HUANCA,,2025-01-08,EPPs,PENDIENTE,MOCHILAS DE TRABAJO,3,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-002,TRAFIGURA,U.M. CATALINA HUANCA,,2025-01-15,EPPs,PENDIENTE,LAMPARA MINERA,1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-003,TRAFIGURA,U.M. CATALINA HUANCA,,2025-01-24,EPPs,PENDIENTE,Proteccion a los ojos 3M ( Lentes de seguridad claro),20,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-004,TRAFIGURA,U.M. CATALINA HUANCA,,2025-02-27,EPPs,PENDIENTE,TYVEK CON CINTA REFLECTIVA,18,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-006,TRAFIGURA,U.M. CATALINA HUANCA,,2025-04-22,EPPs,PENDIENTE,GUANTES DE SHOWA 377-7,14,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-008,TRAFIGURA,U.M. CATALINA HUANCA,,2025-05-27,EPPs,PENDIENTE,Casco de seguridad minero dieléctrico con rachet y barbiquejo,15,excel,,
FOR-EKA-PRO-3_2024-256,loG 23102024 - V 1,rq-CHSM-2503-009,TRAFIGURA,U.M. CATALINA HUANCA,,2025-05-27,EPPs,PENDIENTE,GUANTES DE SHOWA 377-7,16,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-010,TRAFIGURA,U.M. CATALINA HUANCA,,2025-06-23,EPPs,PENDIENTE,GUANTES DE SHOWA 377-7,14,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-011,TRAFIGURA,U.M. CATALINA HUANCA,,2025-07-14,EPPs,ATENCION COMPLETA,"CAMISA M/Larga Tela Ignìfuga 100% , 13.2 cal/cm²+PANTALON Tela Ignìfuga 100% , 13.2 cal/cm²",5,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-012,TRAFIGURA,U.M. CATALINA HUANCA,,2025-07-25,EPPS,PENDIENTE,CARTUCHO 6003 P/GASES 3M,5,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-013,TRAFIGURA,U.M. CATALINA HUANCA,,2025-08-22,EPPS,PENDIENTE,CARTUCHO 6003 P/GASES 3M,7,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-014,TRAFIGURA,U.M. CATALINA HUANCA,,2025-09-05,HERRAMIENTAS,PENDIENTE,ALICATE DE CORTE,28,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-015,TRAFIGURA,U.M. CATALINA HUANCA,,2025-09-26,EPPS,PENDIENTE,CARTUCHO 6003 P/GASES 3M,9,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-016,TRAFIGURA,U.M. CATALINA HUANCA,,2025-10-10,HERRAMIENTAS,PENDIENTE,COMBO 3LB,28,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-017,TRAFIGURA,U.M. CATALINA HUANCA,,2025-10-23,EPPs,PENDIENTE,GUANTES DE SHOWA 377-7,16,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-018,TRAFIGURA,U.M. CATALINA HUANCA,,2025-11-20,EPPs,PENDIENTE,CHALECO DRILL D/SEGURIDAD C/ CINTA REFLECTIVA/ (COLOR NARANJA),3,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-019,TRAFIGURA,U.M. CATALINA HUANCA,,2025-11-22,EPPs,PENDIENTE,GUANTES DE SHOWA 377-7,10,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2503-020,TRAFIGURA,U.M. CATALINA HUANCA,,2025-12-22,SUB CONTRATOS,PENDIENTE,SERVICIO DE ESTUDIO DE ERGONOMIA Y OTROS (VER COTIZACIÓN),1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2603-001,TRAFIGURA,U.M. CATALINA HUANCA,,2026-01-06,EPPs,ATENCION COMPLETA,GUANTES DE SHOWA 377-7,13,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2603-002,TRAFIGURA,U.M. CATALINA HUANCA,,2026-01-22,EPPs,PENDIENTE,Rodillera Industrial Poliéster KN10,1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2603-003,TRAFIGURA,U.M. CATALINA HUANCA,,2026-01-29,EPPs,PENDIENTE,"Ropa de Trabajo reflectivo (Casaca y pantalon) CAMISACO; TELA: DRILL 100% ALGODÓN AZUL MARINO CON APLICACIÓN 100% POLIESTER; CINTA REFLECTIVA 2"" 02 AROS EN MANGA ABDOMEN ESPALDA Y TIRANTES; 02 BORDADOS 01 ESTAMPADO PANTALON; TELA: DRILL 100% ALGODÓN AZUL MARINO; CINTA REFLECTIVA 2"" 02 AROS EN PIERNA; 01 BOLSILLO CARGO",2,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2603-004,TRAFIGURA,U.M. CATALINA HUANCA,,2026-02-05,EPPs,PENDIENTE,GUANTES DE SHOWA 377-7,12,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2603-005,TRAFIGURA,U.M. CATALINA HUANCA,,2026-02-26,GASTOS GENERALES,PENDIENTE,RISST 2026,3,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2603-006,TRAFIGURA,U.M. CATALINA HUANCA,,2026-03-05,EPPs,PENDIENTE,"ZAPATO DIELECTRICO, S42D-606 HERMES PRO NEGRO -SANNDER",1,excel,,
FOR-EKA-PRO-3_2024-256,LOG 23102024 - V 1,RQ-CHSM-2603-007,TRAFIGURA,U.M. CATALINA HUANCA,,2026-03-13,EPPs,PENDIENTE,GUANTES DE SHOWA 377-7,11,excel,,
FOR-EKA-PRO-3_2024-257_REV01,4517617954,RQ-CJM043-001_2024 ,NEXA,REFINERIA CAJAMARQUILLA,,2024-10-29,CONSUMIBLES,PENDIENTE,TRAJE TYVEK 600 PLUS TY198TWHLG0025PI SIN BOTAS T/M,15,excel,,
FOR-EKA-PRO-3_2024-257_REV01,4517617954,RQ-CJM043-002_2024 ,NEXA,REFINERIA CAJAMARQUILLA,,2024-11-05,EPPS,PENDIENTE,"ZAPATO DIELECTRICO, BOTIN BAJO S/ PASADOR ZSBE-21 T-41 - ISM",2,excel,,
FOR-EKA-PRO-03_2024-257_REV01,4517617954,RQ-CJM043-003_2024,NEXA,CAJAMARQUILLA,,2024-11-18,CONSUMIBLES,PENDIENTE,TRAJE TYVEK 600 PLUS TY198TWHLG0025PI SIN BOTAS T/L,49,excel,,
FOR-EKA-PRO-4_2024-065,4517010051,RQ-CJM043-004_2024 ,NEXA,CAJAMARQUILLA,,2024-11-21,EQUIPOS,PENDIENTE,TRAJE 3 EN 1,8,excel,,
FOR-EKA-PRO-3_2024-266,4517613350,RQ-CJM042-001_2024 ,NEXA,REFINERIA CAJAMARQUILLA,,2024-10-25,MATERIALES,ATENCION COMPLETA,LECTOR BIOMETRICO ZKTECO K30 PRO.,1,excel,,
FOR-EKA-PRO-3_2024-274_REV03,4517670895/4517669309/4517645762/4517617841,RQ-UMCL005-001_2024 ,NEXA,U.M. CERRO LINDO,,2024-11-22,MATERIALES,PENDIENTE,"Cable N2XOH unipolar 1x120mm2, 1kV libre de halógeno negro, clase 2",26,excel,,
FOR-EKA-PRO-3_2024-274_REV03,4517670895/4517669309/4517645762/4517617841,RQ-UMCL005-002_2024 ,NEXA,U.M. CERRO LINDO,,2024-11-25,GASTOS GENERALES,ATENCION COMPLETA,CUADERNO NEXACOM PARA LAS CHARLAS DE SEGURIDAD DIARIA,80,excel,,
FOR-EKA-PRO-3_2024-283,4517671243,RQ-UMCL008-001_2024,NEXA,U.M. CERRO LINDO,,,MATERIALES,ATENCION COMPLETA,"ADAPTADOR 2"" NPT MACHO - 2"" JIC MACHO",2,excel,,
FOR-EKA-PRO-3_2024-283,4517671243,RQ-UMCL008-002_2024,NEXA,U.M. CERRO LINDO,,2024-11-29,MATERIALES,ATENCION COMPLETA,"ADAPTADOR 2"" NPT MACHO - 2"" JIC MACHO",2,excel,,
FOR-EKA-PRO-3_2024-288,4517708921,RQ-UMCL007-001_2024 ,NEXA,U.M. CERRO LINDO,,2024-11-26,GASTOS GENERALES,ATENCION COMPLETA,MICAS A4,210,excel,,
FOR-EKA-PRO-3_2024-293,4517700287,RQ-CJM047-001_2024,NEXA,REFINERIA CAJAMARQUILLA,,2024-12-04,MATERIALES,PENDIENTE,"TABLERO DE INOX 316 1.5MM ESP,  200X250X110MM, IP65",1,excel,,
FOR-EKA-PRO-3_2024-299,4517767978,RQ-CJM051-001_2024 ,NEXA,REFINERIA CAJAMARQUILLA,,2024-12-17,MATERIALES,ATENCION COMPLETA,LECTOR BIOMETRICO ZKTECO K30 PRO.,1,excel,,
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-001_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-02-07,MATERIALES,PENDIENTE,PRENSAESTOPA METALICO IP67 PG13.5 C/TUERCA PCG-PG13.5W,65,excel,,
FOR-EKA-PRO-3_2024-305_REV01,4517933782,RQ-CJM056-002_2025,NEXA,REFINERIA CAJAMARQUILLA,,2025-02-07,CONSUMIBLES,ATENCION COMPLETA,BREAKS,1,excel,,
